1024	  32	    12.405 MegaMultiply-Reductions Per Second
1024	  64	    11.973 MegaMultiply-Reductions Per Second
1024	 128	    12.510 MegaMultiply-Reductions Per Second
1024	 256	     9.323 MegaMultiply-Reductions Per Second
4096	  32	    40.117 MegaMultiply-Reductions Per Second
4096	  64	    43.455 MegaMultiply-Reductions Per Second
4096	 128	    45.054 MegaMultiply-Reductions Per Second
4096	 256	    45.799 MegaMultiply-Reductions Per Second
6144	  32	    63.748 MegaMultiply-Reductions Per Second
6144	  64	    51.091 MegaMultiply-Reductions Per Second
6144	 128	    77.416 MegaMultiply-Reductions Per Second
6144	 256	    62.506 MegaMultiply-Reductions Per Second
8192	  32	    87.727 MegaMultiply-Reductions Per Second
8192	  64	    88.587 MegaMultiply-Reductions Per Second
8192	 128	    93.739 MegaMultiply-Reductions Per Second
8192	 256	    80.007 MegaMultiply-Reductions Per Second
10240	  32	   112.885 MegaMultiply-Reductions Per Second
10240	  64	    99.888 MegaMultiply-Reductions Per Second
10240	 128	   101.059 MegaMultiply-Reductions Per Second
10240	 256	    92.526 MegaMultiply-Reductions Per Second
40960	  32	   407.895 MegaMultiply-Reductions Per Second
40960	  64	   361.888 MegaMultiply-Reductions Per Second
40960	 128	   432.104 MegaMultiply-Reductions Per Second
40960	 256	   460.044 MegaMultiply-Reductions Per Second
61440	  32	   521.292 MegaMultiply-Reductions Per Second
61440	  64	   606.479 MegaMultiply-Reductions Per Second
61440	 128	   599.543 MegaMultiply-Reductions Per Second
61440	 256	   500.146 MegaMultiply-Reductions Per Second
81920	  32	   771.665 MegaMultiply-Reductions Per Second
81920	  64	   734.261 MegaMultiply-Reductions Per Second
81920	 128	   883.539 MegaMultiply-Reductions Per Second
81920	 256	   695.723 MegaMultiply-Reductions Per Second
102400	  32	   949.722 MegaMultiply-Reductions Per Second
102400	  64	   974.431 MegaMultiply-Reductions Per Second
102400	 128	  1083.002 MegaMultiply-Reductions Per Second
102400	 256	  1064.217 MegaMultiply-Reductions Per Second
409600	  32	   841.754 MegaMultiply-Reductions Per Second
409600	  64	   805.286 MegaMultiply-Reductions Per Second
409600	 128	   899.459 MegaMultiply-Reductions Per Second
409600	 256	   982.704 MegaMultiply-Reductions Per Second
614400	  32	  1180.537 MegaMultiply-Reductions Per Second
614400	  64	  1282.737 MegaMultiply-Reductions Per Second
614400	 128	  1336.416 MegaMultiply-Reductions Per Second
614400	 256	  1188.753 MegaMultiply-Reductions Per Second
819200	  32	  1378.704 MegaMultiply-Reductions Per Second
819200	  64	  1914.269 MegaMultiply-Reductions Per Second
819200	 128	  1773.007 MegaMultiply-Reductions Per Second
819200	 256	  1708.514 MegaMultiply-Reductions Per Second
1024000	  32	  1601.664 MegaMultiply-Reductions Per Second
1024000	  64	  1974.951 MegaMultiply-Reductions Per Second
1024000	 128	  2124.203 MegaMultiply-Reductions Per Second
1024000	 256	  2033.897 MegaMultiply-Reductions Per Second
4096000	  32	  2887.305 MegaMultiply-Reductions Per Second
4096000	  64	  4124.970 MegaMultiply-Reductions Per Second
4096000	 128	  5295.869 MegaMultiply-Reductions Per Second
4096000	 256	  4827.223 MegaMultiply-Reductions Per Second
6144000	  32	  3167.312 MegaMultiply-Reductions Per Second
6144000	  64	  4724.664 MegaMultiply-Reductions Per Second
6144000	 128	  6128.813 MegaMultiply-Reductions Per Second
6144000	 256	  5558.732 MegaMultiply-Reductions Per Second
8192000	  32	  3307.456 MegaMultiply-Reductions Per Second
8192000	  64	  5110.581 MegaMultiply-Reductions Per Second
8192000	 128	  6867.344 MegaMultiply-Reductions Per Second
8192000	 256	  6223.009 MegaMultiply-Reductions Per Second
